,smiles,solvent,logsol,SP,SdP,SA,SB
49637,O=[N+]([O-])c1nonc1-c1no[n+]([O-])c1-c1nonc1[N+](=O)[O-],ClC(Cl)Cl,-4.985981218833803,0.783,0.614,0.047,0.071
10489,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCO,-4.874226794316708,0.658,0.748,0.367,0.782
42571,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,CN(C)C=O,-0.9869814724969244,0.759,0.977,0.031,0.613
4587,c1ccc(-n2c(-c3cc(-c4nc5ccccc5n4-c4ccccc4)cc(-c4nc5ccccc5n4-c4ccccc4)c3)nc3ccccc32)cc1,CCO,-7.520244556524628,0.633,0.783,0.4,0.658
17460,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,CC(C)=O,-6.19676818029386,0.651,0.907,0.0,0.475
27702,COc1cc([N+](=O)[O-])ccc1N,CC(C)O,-5.314446748477921,0.633,0.808,0.283,0.83
27409,O=C(O)c1cccc(C(=O)O)n1,CC(C)O,-4.913054965757392,0.633,0.808,0.283,0.83
35466,O=C(O)CN(CC(=O)O)CP(=O)(O)O,CCCCCO,-8.588689193121308,0.687,0.587,0.319,0.86
25255,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,CC#N,-10.822782793430582,0.645,0.974,0.044,0.286
39660,NC(=O)c1ccc([N+](=O)[O-])cc1,O,-7.190118189956318,0.681,0.997,1.062,0.025
3852,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CO,-3.882949757942439,0.608,0.904,0.605,0.545
48744,Cc1ccc(NC2=NCCC3(CCCCC3)S2)cc1Cl,CCCCCC,-11.120883377194204,0.616,0.0,0.0,0.056
34960,CN(C)Cc1c[nH]c2ccccc12,CCCCCO,-6.082221110378866,0.687,0.587,0.319,0.86
13792,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,CCCCO,-6.107998363363934,0.674,0.655,0.341,0.809
15872,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,CCCCO,-4.8283137373023015,0.674,0.655,0.341,0.809
22128,O=P(Oc1ccccc1)(Oc1ccccc1)N1CCN(P(=O)(Oc2ccccc2)Oc2ccccc2)CC1,CCOC(C)=O,-6.707430097748608,0.656,0.603,0.0,0.542
27773,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1,CC(C)O,-9.14642704623253,0.633,0.808,0.283,0.83
16564,CSCCC(NC(C)=O)C(=O)O,CC(C)=O,-3.2973780530231585,0.651,0.907,0.0,0.475
25089,Cc1cnc(C(=O)O)cn1,CC#N,-12.015452285921524,0.645,0.974,0.044,0.286
41361,Nc1cc(-c2ccncc2)c[nH]c1=O,O,-13.38763185501921,0.681,0.997,1.062,0.025
47319,O=C(O)c1ccccc1,COC(C)=O,-1.546463113272712,0.645,0.637,0.0,0.527
10524,Oc1ccc(OCc2ccccc2)cc1,CCCO,-2.745440590320769,0.658,0.748,0.367,0.782
10913,Cc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],CCCO,-3.903063264056674,0.658,0.748,0.367,0.782
36221,CC1(C)CO[P+]([O-])(Oc2c(Br)cc(Br)cc2Br)OC1,C1CCOC1,-3.4975981559485096,0.714,0.634,0.0,0.591
47787,NC(=O)c1cccnc1,CCCCOC(C)=O,-4.473571910631344,0.674,0.535,0.0,0.525
30607,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,CC(C)O,-6.406979991069647,0.633,0.808,0.283,0.83
8581,COc1cc(N)nc(OC)n1,CCO,-3.675765814968553,0.633,0.783,0.4,0.658
9909,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,CCO,-5.999496718805246,0.633,0.783,0.4,0.658
6582,O=C(O)c1ccc(O)c(O)c1,CCO,-3.0057826094074924,0.633,0.783,0.4,0.658
3953,Cc1ccc(C(C)C)c(O)c1,CO,-0.3042180410918804,0.608,0.904,0.605,0.545
9381,CC1=NN(c2ccc(C)cc2)C(=O)C1,CCO,-3.365926767580236,0.633,0.783,0.4,0.658
21030,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,CCOC(C)=O,-7.521352180784073,0.656,0.603,0.0,0.542
27485,OCc1ccccc1O[C@@H]1OC(CO)[C@@H](O)[C@@H](O)C1O,CC(C)O,-7.959579406151488,0.633,0.808,0.283,0.83
38607,O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccc(Br)cc1,C1COCCO1,-5.315870525795626,0.737,0.312,0.0,0.444
20128,N=C(N)NCCC[C@H](N)C(=O)O.O=C1CC[C@@H](C(=O)O)N1,CCOC(C)=O,-9.511445464760104,0.656,0.603,0.0,0.542
1118,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(SC3Cn4cnc[n+]4C3)[C@H](C)[C@H]12,CO,-10.240920250252463,0.608,0.904,0.605,0.545
34638,Cl.c1ccc([C@H]2CN3CCSC3=N2)cc1,CC(C)CO,-5.701784471993528,0.657,0.684,0.311,0.828
13445,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,CCCCO,-7.660652463947856,0.674,0.655,0.341,0.809
11577,COC(=O)c1c(C)cc(O)c(C)c1O,CCCO,-2.1955260207006377,0.658,0.748,0.367,0.782
4994,O=C(O)Cc1ccccc1[N+](=O)[O-],CCO,-2.9646212785289383,0.633,0.783,0.4,0.658
17844,O=C(O)/C=C/c1ccc(O)cc1,CC(C)=O,-3.061872076058536,0.651,0.907,0.0,0.475
10741,N[C@H](Cc1c[nH]cn1)C(=O)O,CCCO,-7.1819290014091255,0.658,0.748,0.367,0.782
24679,CC(=O)N1CCC[C@H]1C(=O)O,CC#N,-2.886519188580675,0.645,0.974,0.044,0.286
15395,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],CCCCO,-4.911695346241352,0.674,0.655,0.341,0.809
43624,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,CN(C)C=O,-3.2903718265732707,0.759,0.977,0.031,0.613
42682,Cc1c(Br)cccc1C(=O)O,CN(C)C=O,-1.3545244130310885,0.759,0.977,0.031,0.613
3027,O=C1C=CC(=O)N1c1ccccc1Br,CO,-3.3351287816924504,0.608,0.904,0.605,0.545
3884,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,CO,-7.005368107849137,0.608,0.904,0.605,0.545
16800,CCOC(=O)[C@@H](N)CCc1ccccc1.Cl,CC(C)=O,-6.3089187778934335,0.651,0.907,0.0,0.475
22246,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,CCOC(C)=O,-5.266295580525299,0.656,0.603,0.0,0.542
12674,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,CCCO,-4.8358420037230925,0.658,0.748,0.367,0.782
26907,O=C1c2cccc(Cl)c2C(=O)N1c1ccccc1,CC#N,-5.708996041709089,0.645,0.974,0.044,0.286
30336,c1ccc(-c2nnn[nH]2)cc1,CC(C)O,-3.874245641094116,0.633,0.808,0.283,0.83
52297,COc1cc(C(=O)O)cc(OC)c1O,CCCCCCO,-5.339139361068292,0.698,0.552,0.315,0.879
13189,CC(C)(C)[C@H](O)[C@H](Cc1ccc(Cl)cc1)n1cncn1,CCCO,-3.838772543688554,0.658,0.748,0.367,0.782
9327,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,CCO,-7.625195152111127,0.633,0.783,0.4,0.658
38413,COc1ccc(CN2CCNCC2)c(OC)c1OC.Cl,C1COCCO1,-9.40271226462364,0.737,0.312,0.0,0.444
27835,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,CC(C)O,-7.749402467860526,0.633,0.808,0.283,0.83
30967,O=C(O)CN(CC(=O)O)CP(=O)(O)O,CC(C)O,-9.41001156710525,0.633,0.808,0.283,0.83
22530,COC(=O)/C=C/c1ccc(O)cc1,CCOC(C)=O,-2.4580699958344407,0.656,0.603,0.0,0.542
11129,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,CCCO,-6.735484058041684,0.658,0.748,0.367,0.782
22535,COC(=O)/C=C/c1ccc(O)c(OC)c1,CCOC(C)=O,-1.5269366909223567,0.656,0.603,0.0,0.542
35596,CNC(=O)c1cc(Oc2ccc(N)cc2)ccn1,C1CCOC1,-1.939192761307789,0.714,0.634,0.0,0.591
19259,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,CC(C)=O,-3.726041487802704,0.651,0.907,0.0,0.475
53886,O=C(O)c1ccc(C(=O)O)cc1,CC(=O)c1ccccc1,-11.445266816496414,0.848,0.808,0.044,0.365
49208,O=C(O)c1cccc(O)c1O,CCOC=O,-3.437342828298509,0.648,0.707,0.0,0.477
4236,Cc1cc(C)c(C(=O)P(=O)(c2ccccc2)c2ccccc2)c(C)c1,CO,-1.3026887772650937,0.608,0.904,0.605,0.545
26697,CC1=NN(c2ccc(C)cc2)C(=O)C1,CC#N,-4.156007222614208,0.645,0.974,0.044,0.286
32436,Cc1ccc(NC(=O)/C(=C/Cl)Sc2ccccc2)cc1,Cc1ccccc1,-3.116770601931047,0.782,0.284,0.0,0.128
30922,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,CC(C)O,-4.889471313613756,0.633,0.808,0.283,0.83
4416,C/C=C/C(=O)O,CO,-1.1017171036215885,0.608,0.904,0.605,0.545
7357,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,CCO,-9.7191679930795,0.633,0.783,0.4,0.658
12501,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,CCCO,-8.568486485803788,0.658,0.748,0.367,0.782
48714,Cc1ccc(NC2=NCCC3(CCCCC3)S2)cc1,CCCCCC,-7.877974352881847,0.616,0.0,0.0,0.056
8349,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O,CCO,-8.151508953319917,0.633,0.783,0.4,0.658
37851,COc1cc2nc(Cl)nc(N)c2cc1OC,C1COCCO1,-8.605478106283808,0.737,0.312,0.0,0.444
45435,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,C1CCCCC1,-10.593439842199556,0.683,0.0,0.0,0.073
22540,COC(=O)/C=C/c1cc(OC)c(O)c(OC)c1,CCOC(C)=O,-2.1464364105041143,0.656,0.603,0.0,0.542
27747,O=C(O)c1cccnc1Cl,CC(C)O,-4.479418980682532,0.633,0.808,0.283,0.83
39901,OC[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,O,-2.7014371158319643,0.681,0.997,1.062,0.025
43380,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1.[Na+],CN(C)C=O,-2.581267781649026,0.759,0.977,0.031,0.613
45108,O=C(OCC1c2ccccc2-c2ccccc21)ON1C(=O)CCC1=O,OCCO,-7.834601524795809,0.777,0.91,0.717,0.534
9831,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F,CCO,-4.859675413745315,0.633,0.783,0.4,0.658
45511,CC(=O)c1cccc([N+](=O)[O-])c1,C1CCCCC1,-5.704182554677541,0.683,0.0,0.0,0.073
17129,CC1(C)COP(=O)(Oc2cccc(OP3(=O)OCC(C)(C)CO3)c2)OC1,CC(C)=O,-4.576582729136179,0.651,0.907,0.0,0.475
2128,CCNc1nc(Cl)nc(NC(C)C)n1,CO,-5.619487283160807,0.608,0.904,0.605,0.545
14504,Cc1cccc(C(=O)O)c1N,CCCCO,-3.500244535263389,0.674,0.655,0.341,0.809
50108,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,CCCCCCCO,-6.507637777200568,0.706,0.499,0.302,0.912
20479,CC(=O)N1CCC[C@H]1C(=O)O,CCOC(C)=O,-4.645992180508347,0.656,0.603,0.0,0.542
33942,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,CC(C)CO,-4.87082987440538,0.657,0.684,0.311,0.828
12923,Nc1cc(Cl)ccc1C(=O)O,CCCO,-3.920559336450432,0.658,0.748,0.367,0.782
8016,CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]2O)N(C)C1,CCO,-8.334871634622283,0.633,0.783,0.4,0.658
16861,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CC(C)=O,-4.535644123339481,0.651,0.907,0.0,0.475
20446,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CCOC(C)=O,-1.3664917338237108,0.656,0.603,0.0,0.542
4168,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.Cl,CO,-4.454175910940809,0.608,0.904,0.605,0.545
32421,O=C(O)Cc1ccccc1Cl,Cc1ccccc1,-2.328313241566777,0.782,0.284,0.0,0.128
1263,O=C(O)c1cc2ccccc2cc1O,CO,-4.017383521085972,0.608,0.904,0.605,0.545
24373,c1ccc(-n2c(-c3cc(-c4nc5ccccc5n4-c4ccccc4)cc(-c4nc5ccccc5n4-c4ccccc4)c3)nc3ccccc32)cc1,CC#N,-8.811564252018815,0.645,0.974,0.044,0.286
43651,O=C(OCC1c2ccccc2-c2ccccc21)ON1C(=O)CCC1=O,CN(C)C=O,-4.326781160447903,0.759,0.977,0.031,0.613
14433,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,CCCCO,-9.942436302674702,0.674,0.655,0.341,0.809
35549,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,C1CCOC1,-7.6687103191473245,0.714,0.634,0.0,0.591
17763,O=C(c1ccccc1)C(O)c1ccccc1,CC(C)=O,-4.224681063950104,0.651,0.907,0.0,0.475
23856,CN1COCN(Cc2cnc(Cl)s2)/C1=N/[N+](=O)[O-],ClCCl,-3.69369101111116,0.761,0.769,0.04,0.178
34242,O=C(O)c1cc2ccccc2cc1O,CC(C)CO,-3.87907190528846,0.657,0.684,0.311,0.828
1500,CC(=O)c1cccc([N+](=O)[O-])c1,CO,-4.001947712956133,0.608,0.904,0.605,0.545
33128,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,Cc1ccccc1,-4.348359777203397,0.782,0.284,0.0,0.128
42361,Nc1nc2ccc(OC(F)(F)F)cc2s1,CCCOC(C)=O,-0.9201481622014598,0.67,0.559,0.0,0.548
42830,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,CN(C)C=O,-0.9983145673527458,0.759,0.977,0.031,0.613
26722,Cc1ccc(C(C)C)c(O)c1,CC#N,-0.2328151710109408,0.645,0.974,0.044,0.286
11120,NC(=O)c1ccc(N)cc1,CCCO,-5.141142692176038,0.658,0.748,0.367,0.782
45234,O=C(O)Cc1ccc([N+](=O)[O-])cc1,C1CCCCC1,-10.09780072218246,0.683,0.0,0.0,0.073
15980,COc1cc(CO)ccc1O,CCCCO,-3.236530760106921,0.674,0.655,0.341,0.809
15794,S=C(Nc1ccccc1)Nc1ccccc1,CCCCO,-5.676945820702642,0.674,0.655,0.341,0.809
47146,CC(=O)N1CCC[C@H]1C(=O)O,COC(C)=O,-4.222632582523632,0.645,0.637,0.0,0.527
21480,CC(=O)c1cccc([N+](=O)[O-])c1,CCOC(C)=O,-1.6565295199679508,0.656,0.603,0.0,0.542
14079,CN(C)Cc1c[nH]c2ccccc12,CCCCO,-5.903820037255936,0.674,0.655,0.341,0.809
36422,CC(=O)N1CCC[C@H]1C(=O)O,CCC(C)=O,-3.741015208534465,0.669,0.872,0.0,0.52
37484,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1.O=S(=O)(O)O,CCC(C)O,-3.9574911934752928,0.656,0.706,0.221,0.888
17421,NC(=O)c1ccc(N)cc1,CC(C)=O,-4.55638002181866,0.651,0.907,0.0,0.475
1979,O=C(O)c1ccc(O)c(O)c1,CO,-2.7275388776860727,0.608,0.904,0.605,0.545
42773,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,CN(C)C=O,-3.372609924810243,0.759,0.977,0.031,0.613
38329,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,C1COCCO1,-6.507637777200568,0.737,0.312,0.0,0.444
40829,O=S(=O)([O-])c1ccc(Nc2nc(Nc3ccc(/C=C/c4ccc(Nc5nc(Nc6ccc(S(=O)(=O)[O-])cc6)nc(N6CCOCC6)n5)cc4S(=O)(=O)[O-])c(S(=O)(=O)[O-])c3)nc(N3CCOCC3)n2)cc1.[Na+].[Na+].[Na+].[Na+],O,-6.325260368525787,0.681,0.997,1.062,0.025
45259,Cc1c(Br)cccc1C(=O)O,C1CCCCC1,-6.425329129737844,0.683,0.0,0.0,0.073
37231,O=C(O)[C@@H]1C[C@@H](O)CN1,CCC(C)O,-8.703522769607732,0.656,0.706,0.221,0.888
16150,Cc1ccc(C(C)C)c(O)c1,CCCCO,-0.4889010663501991,0.674,0.655,0.341,0.809
27858,OCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,CC(C)O,-5.769922277160746,0.633,0.808,0.283,0.83
24342,O=C(O)COc1ccc(Cl)cc1,CC#N,-4.141436169755951,0.645,0.974,0.044,0.286
22597,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1=O,CCOC(C)=O,-10.211644478177297,0.656,0.603,0.0,0.542
45519,CC(=O)c1ccc([N+](=O)[O-])cc1,C1CCCCC1,-5.466499359788272,0.683,0.0,0.0,0.073
32859,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,Cc1ccccc1,-1.6514898296659697,0.782,0.284,0.0,0.128
3463,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O.Cl,CO,-6.049093659944618,0.608,0.904,0.605,0.545
27391,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,CC(C)O,-7.289015698393484,0.633,0.808,0.283,0.83
16476,COC(=O)[C@@H](N)CS.Cl,CC(C)=O,-6.980325971816972,0.651,0.907,0.0,0.475
31316,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,CCCCCCCCO,-12.547436828231817,0.713,0.454,0.299,0.923
15751,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,CCCCO,-8.408338786504155,0.674,0.655,0.341,0.809
35271,Nc1nc2ccc(OC(F)(F)F)cc2s1,CCCCCO,-1.3308974978996029,0.687,0.587,0.319,0.86
4069,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,CO,-4.231539801399945,0.608,0.904,0.605,0.545
50047,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCCCCO,-5.146111433658706,0.706,0.499,0.302,0.912
19280,O=c1[nH]c(=O)n(C2CCCO2)cc1F,CC(C)=O,-3.58787641849757,0.651,0.907,0.0,0.475
43291,O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccccc1,CN(C)C=O,-4.615220521841593,0.759,0.977,0.031,0.613
23849,O=C(O)[C@@H]1C[C@@H](O)CN1,ClCCl,-7.57914096776057,0.761,0.769,0.04,0.178
33983,O=C([O-])/C=C/C(=O)O.[Na+],CC(C)CO,-11.030499315725937,0.657,0.684,0.311,0.828
29920,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,CC(C)O,-4.700030467012051,0.633,0.808,0.283,0.83
44814,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,OCCO,-3.7705234431544463,0.777,0.91,0.717,0.534
35521,c1ccc(-n2c(-c3cc(-c4nc5ccccc5n4-c4ccccc4)cc(-c4nc5ccccc5n4-c4ccccc4)c3)nc3ccccc32)cc1,C1CCOC1,-5.88890795878289,0.714,0.634,0.0,0.591
32055,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,Cc1ccccc1,-4.256628225279548,0.782,0.284,0.0,0.128
14253,O=C1C=CC(=O)N1c1ccccc1Br,CCCCO,-4.220588288796352,0.674,0.655,0.341,0.809
997,CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,CO,-5.726948752688041,0.608,0.904,0.605,0.545
46462,c1ccc(OP2(Oc3ccccc3)=NP(Oc3ccccc3)(Oc3ccccc3)=NP(Oc3ccccc3)(Oc3ccccc3)=N2)cc1,CCOCC,-4.028556821684098,0.617,0.385,0.0,0.562
40082,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,O,-15.699385316100134,0.681,0.997,1.062,0.025
5278,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,CCO,-7.061606003800398,0.633,0.783,0.4,0.658
25581,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,CC#N,-3.79735593045002,0.645,0.974,0.044,0.286
49225,CC1(C)COP(=O)(Oc2cccc(OP3(=O)OCC(C)(C)CO3)c2)OC1,CCOC=O,-5.10439667391073,0.648,0.707,0.0,0.477
3245,COc1cc(N)nc(OC)n1,CO,-3.346141175914077,0.608,0.904,0.605,0.545
30745,C/C=C/C=C/C(=O)O,CC(C)O,-2.6829674207347467,0.633,0.808,0.283,0.83
34110,O=C1C=CC(=O)N1c1ccccc1Br,CC(C)CO,-4.058784386823549,0.657,0.684,0.311,0.828
21375,NC(=O)c1cccnc1,CCOC(C)=O,-4.350574480324117,0.656,0.603,0.0,0.542
9550,C/C=C/C=C/C(=O)O,CCO,-2.5944090646131617,0.633,0.783,0.4,0.658
19201,Nc1nc2ccc(OC(F)(F)F)cc2s1,CC(C)=O,-0.8562309754464922,0.651,0.907,0.0,0.475
11236,O=C(O)c1cc2ccccc2cc1O,CCCO,-3.5459919665653885,0.658,0.748,0.367,0.782
16341,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.Cl,CCCCO,-8.577474122301167,0.674,0.655,0.341,0.809
20314,Nc1cccc(Cl)c1C(=O)O,CCOC(C)=O,-2.7931180134922737,0.656,0.603,0.0,0.542
34853,CCOc1ccccc1C(N)=O,CCCCCO,-4.1023364121516535,0.687,0.587,0.319,0.86
41243,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,O,-13.385678093407815,0.681,0.997,1.062,0.025
31913,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,Cc1ccccc1,-9.808177372731803,0.782,0.284,0.0,0.128
10069,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,CCCO,-7.1308988302963465,0.658,0.748,0.367,0.782
14862,O=C(c1ccccc1)C(O)c1ccccc1,CCCCO,-5.900892848923595,0.674,0.655,0.341,0.809
37474,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,CCC(C)O,-9.339310753273145,0.656,0.706,0.221,0.888
16681,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,CC(C)=O,-5.921938484459372,0.651,0.907,0.0,0.475
31281,Br.CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,CCCCCCCCO,-2.7379940774752822,0.713,0.454,0.299,0.923
27002,COC(=O)C1CC(=O)C(C(=O)OC)CC1=O,CC#N,-5.933195638984007,0.645,0.974,0.044,0.286
31047,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CCCCCCCCO,-5.507065037578514,0.713,0.454,0.299,0.923
20642,CN(C)Cc1c[nH]c2ccccc12,CCOC(C)=O,-6.626946775473528,0.656,0.603,0.0,0.542
20409,O=C(N[C@H](C(=O)O)c1ccccc1)OCc1ccccc1,CCOC(C)=O,-3.2950551716070184,0.656,0.603,0.0,0.542
24900,O=C(O)[C@@H]1CCCN1,CC#N,-9.458801731274685,0.645,0.974,0.044,0.286
14922,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,CCCCO,-2.946942109384559,0.674,0.655,0.341,0.809
10217,NC(=O)[C@@H]1CCCN1,CCCO,-2.0414523557758013,0.658,0.748,0.367,0.782
3205,O=Cc1ccc(C(=O)O)cc1,CO,-4.354411467640908,0.608,0.904,0.605,0.545
23259,Nc1cc(Cl)ccc1C(=O)O,CCOC(C)=O,-3.5816407034443376,0.656,0.603,0.0,0.542
16986,CN(C)Cc1c[nH]c2ccccc12,CC(C)=O,-3.073045376656661,0.651,0.907,0.0,0.475
22839,CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2,CCOC(C)=O,-4.041562376783132,0.656,0.603,0.0,0.542
17577,NC(=O)c1cccnc1,CC(C)=O,-3.756413390364644,0.651,0.907,0.0,0.475
15249,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,CCCCO,-5.0206856299497575,0.674,0.655,0.341,0.809
41468,C[C@H]1COc2c(N3CCN(C)CC3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23.Cl,O,-6.19676818029386,0.681,0.997,1.062,0.025
21203,CC(C)N1C(=O)N(c2ccccc2)CSC1=NC(C)(C)C,CCOC(C)=O,-2.1567546447825063,0.656,0.603,0.0,0.542
12729,CNC[C@H](O)c1cccc(O)c1.Cl,CCCO,-4.320743406256983,0.658,0.748,0.367,0.782
35725,CN(C)/C=C/C(=O)c1cccnc1,C1CCOC1,-3.579128590154817,0.714,0.634,0.0,0.591
35690,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,C1CCOC1,-4.06284589516273,0.714,0.634,0.0,0.591
3587,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1,CO,-9.80111148591926,0.608,0.904,0.605,0.545
5838,CC[C@@H](C(N)=O)N1CCCC1=O,CCO,-2.579261286269293,0.633,0.783,0.4,0.658
42644,O=C(O)Cc1ccccc1[N+](=O)[O-],CN(C)C=O,-1.2844600552386225,0.759,0.977,0.031,0.613
39297,CC(=O)NCC(=O)O,O,-4.859804404393672,0.681,0.997,1.062,0.025
49487,O=C(O)Cc1c[nH]c2ccccc12,ClC(Cl)Cl,-12.527932169783542,0.783,0.614,0.047,0.071
