,SMILES,"T,K",Solubility,Solvent,SMILES_Solvent,Source
13357,N=C(N)N.O=[N+]([O-])O,303.15,0.0041,n-propanol,CCCO,10.1016/j.fluid.2014.12.037
13369,CCn1c2ccccc2c2ccccc21,303.15,0.024,n-propanol,CCCO,10.1016/j.fluid.2014.06.030
13379,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,303.15,0.00381,n-propanol,CCCO,10.1016/j.fluid.2014.04.028
13389,COC(=O)C1CC(=O)C(C(=O)OC)CC1=O,303.15,0.00081,n-propanol,CCCO,10.1016/j.fluid.2013.06.037
13414,COC(=O)[C@@H](N)CS.Cl,303.15,0.01058,n-butanol,CCCCO,10.1021/acs.jced.0c00795
13425,CC1(C)NC(=O)NC1=O,303.15,0.04465,n-butanol,CCCCO,10.1021/acs.jced.9b01020
13436,NS(=O)(=O)Cc1noc2ccccc12,303.15,0.00122,n-butanol,CCCCO,10.1021/acs.jced.0c00249
13445,CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,303.15,0.000471,n-butanol,CCCCO,10.1021/acs.jced.0c00254
13453,O=Cc1cc(Br)c(O)c(Br)c1,303.15,0.008456,n-butanol,CCCCO,10.1021/acs.jced.0c00376
13463,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,303.15,0.000557,n-butanol,CCCCO,10.1021/acs.jced.0c00301
13473,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,303.15,0.008952,n-butanol,CCCCO,10.1021/acs.jced.0c00127
13482,O=C(Nc1ccccc1)c1ccccc1,303.15,0.008772,n-butanol,CCCCO,10.1021/acs.jced.0c00167
13490,Nc1ccc(S(N)(=O)=O)cc1,303.15,0.002268,n-butanol,CCCCO,10.1021/acs.jced.9b00411
13496,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,303.15,0.0006,n-butanol,CCCCO,10.1021/acs.jced.0c00558
13508,O=C1CC[C@@H](C(=O)N2CSC[C@H]2C(=O)O)N1,303.15,0.00072,n-butanol,CCCCO,10.1021/acs.jced.0c00616
13526,O=C(O)COc1ccc(Cl)cc1,303.15,0.05007,n-butanol,CCCCO,10.1021/acs.jced.1c00153
13536,Cc1cc(Cl)cc(C(=O)O)c1N,303.15,0.008201,n-butanol,CCCCO,10.1021/acs.jced.1c00047
13544,Cc1c(N)cccc1C(=O)O,303.15,0.004417,n-butanol,CCCCO,10.1021/acs.jced.1c00109
13586,c1ccc(-n2c(-c3cc(-c4nc5ccccc5n4-c4ccccc4)cc(-c4nc5ccccc5n4-c4ccccc4)c3)nc3ccccc32)cc1,303.15,0.00155,n-butanol,CCCCO,10.1021/acs.jced.1c00163
13594,CC(=O)Nc1ccccc1[N+](=O)[O-],303.15,0.02321,n-butanol,CCCCO,10.1021/acs.jced.1c00037
13601,CSCCC(NC(C)=O)C(=O)O,303.15,0.0591,n-butanol,CCCCO,10.1021/acs.jced.1c00064
13608,Nc1cccc(S(=O)(=O)c2cccc(N)c2)c1,303.15,0.002055,n-butanol,CCCCO,10.1021/acs.jced.1c00062
13618,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,303.15,0.0025176,n-butanol,CCCCO,10.1021/acs.jced.0c01088
13627,O=C(O)[C@@H]1C[C@@H](O)CN1,303.15,0.000181,n-butanol,CCCCO,10.1021/acs.jced.0c00794
13638,O=Cc1cc(C=O)cc(C=O)c1,303.15,0.001815,n-butanol,CCCCO,10.1021/acs.jced.0c00776
13646,OCC(O)COc1ccc(Cl)cc1,303.15,0.09234,n-butanol,CCCCO,10.1021/acs.jced.0c00900
13658,COc1cc2nc(Cl)nc(N)c2cc1OC,303.15,0.000648,n-butanol,CCCCO,10.1021/acs.jced.0c00506
13664,CCOc1ccccc1C(N)=O,303.15,0.015752,n-butanol,CCCCO,10.1021/acs.jced.0c01081
13674,O=C(Nc1ccccc1)c1ccccc1O,303.15,0.0247274,n-butanol,CCCCO,10.1021/acs.jced.0c01078
13684,O=C(O)c1cccc(O)c1O,303.15,0.08056,n-butanol,CCCCO,10.1021/acs.jced.0c01032
13703,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,303.15,0.00042623,n-butanol,CCCCO,10.1021/acs.jced.0c00803
13711,c1ccc2[nH]c(-c3cscn3)nc2c1,303.15,0.002661,n-butanol,CCCCO,10.1021/acs.jced.0c00724
13720,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,303.15,0.04844,n-butanol,CCCCO,10.1021/acs.jced.0c00655
13731,Nc1cccc(Cl)c1C(=O)O,303.15,0.04392,n-butanol,CCCCO,10.1021/acs.jced.0c00320
13738,CC1=NN(c2ccccc2)C(=O)C1,303.15,0.037215,n-butanol,CCCCO,10.1021/acs.jced.0c00290
13747,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC,303.15,0.0126,n-butanol,CCCCO,10.1021/acs.jced.0c00201
13754,Cl.N=C(N=C(N)N)N1CCOCC1,303.15,0.001007,n-butanol,CCCCO,10.1021/acs.jced.0c00015
13761,Nc1nc(=O)[nH]cc1F,303.15,0.0005667,n-butanol,CCCCO,10.1021/acs.jced.1c00206
13768,O=C(O)CNCc1ccccc1,303.15,0.000262,n-butanol,CCCCO,10.1021/acs.jced.1c00050
13776,O=C(O)c1cccc([N+](=O)[O-])c1O,303.15,0.06316,n-butanol,CCCCO,10.1021/acs.jced.1c00259
13783,Cl.N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1,303.15,0.001911,n-butanol,CCCCO,10.1021/acs.jced.1c00239
13792,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,303.15,0.002225,n-butanol,CCCCO,10.1021/acs.jced.1c00302
13797,CCOC(=O)[C@@H]1CSCN1.Cl,303.15,0.008286,n-butanol,CCCCO,10.1021/acs.jced.1c00079
13802,CC(C)(C)OC(=O)N1CCC[C@H]1C(=O)O,303.15,0.125638,n-butanol,CCCCO,10.1021/acs.jced.1c00201
13810,CNC(=O)c1cc(Oc2ccc(N)cc2)ccn1,303.15,0.01346,n-butanol,CCCCO,10.1021/acs.jced.1c00232
13819,Nc1cccc(C(=O)O)c1,303.15,0.009339,n-butanol,CCCCO,10.1021/acs.jced.1c00247
13838,CCO.C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.Cl.Cl.O,303.15,0.008128,n-butanol,CCCCO,10.1021/acs.jced.0c00097
13848,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,303.15,0.03014,n-butanol,CCCCO,10.1021/acs.jced.0c00122
13857,O=C1N=c2ccccc2=N1,303.15,0.0048722,n-butanol,CCCCO,10.1021/acs.jced.0c00165
13868,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,303.15,0.1488,n-butanol,CCCCO,10.1021/acs.jced.0c00166
13877,O=c1cc(CBr)c2ccccc2[nH]1,303.15,0.000461,n-butanol,CCCCO,10.1021/acs.jced.0c00303
13882,OCc1ccccc1O[C@@H]1OC(CO)[C@@H](O)[C@@H](O)C1O,303.15,0.00024953,n-butanol,CCCCO,10.1021/acs.jced.0c00332
13887,CCOC(=O)[C@@H](N)CCc1ccccc1.Cl,303.15,0.02197,n-butanol,CCCCO,10.1021/acs.jced.1c00485
13893,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1.Cl,303.15,0.000675,n-butanol,CCCCO,10.1021/acs.jced.1c00432
13903,COc1cc2c(cc1OC)C(=O)CC2,303.15,0.035216,n-butanol,CCCCO,10.1021/acs.jced.1c00040
13912,CC(=O)NCC(=O)O,303.15,0.003262,n-butanol,CCCCO,10.1021/acs.jced.0c00983
13921,CC(=O)N1CCC[C@H]1C(=O)O,303.15,0.0877,n-butanol,CCCCO,10.1021/acs.jced.1c00032
13946,CCCOC(=O)c1ccc(O)cc1,303.15,0.2362,n-butanol,CCCCO,10.1021/acs.jced.0c00584
13956,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,303.15,0.01381,n-butanol,CCCCO,10.1021/acs.jced.0c00513
13964,C=CC(=O)NC(C)(C)CS(=O)(=O)O,303.15,0.006485,n-butanol,CCCCO,10.1021/acs.jced.0c00578
13974,O=C(O)Cc1ccccc1[N+](=O)[O-],303.15,0.03228,n-butanol,CCCCO,10.1021/acs.jced.0c00543
13984,O=C(O)Cc1ccc([N+](=O)[O-])cc1,303.15,0.08772,n-butanol,CCCCO,10.1021/acs.jced.0c00182
13992,N[C@@H](CS)C(=O)O,303.15,8.2e-05,n-butanol,CCCCO,10.1021/acs.jced.0c00031
13999,Oc1ccc(OCc2ccccc2)cc1,303.15,0.05429,n-butanol,CCCCO,10.1021/acs.jced.9b00817
14004,O=C([O-])/C=C/C(=O)O.[Na+],303.15,5.97e-05,n-butanol,CCCCO,10.1021/acs.jced.9b01203
14012,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],303.15,0.01292,n-butanol,CCCCO,10.1021/acs.jced.9b01036
14018,O=C[C@H](O)[C@H](O)[C@H](O)CO,303.15,0.0081397,n-butanol,CCCCO,10.1021/acs.jced.0c00009
14024,Oc1c(Br)cc(Br)c2cccnc12,303.15,0.0002793,n-butanol,CCCCO,10.1021/acs.jced.9b01190
14061,CC(=O)N[C@@H](CC(C)C)C(=O)O,303.15,0.02907,n-butanol,CCCCO,10.1021/acs.jced.9b01151
14072,CN(C)Cc1c[nH]c2ccccc12,303.15,0.05648,n-butanol,CCCCO,10.1021/acs.jced.9b00911
14079,CN(C)Cc1c[nH]c2ccccc12,303.15,0.002729,n-butanol,CCCCO,10.1021/acs.jced.9b01063
14086,C[C@H](N)C(=O)O,303.15,0.000517,n-butanol,CCCCO,10.1021/acs.jced.9b00743
14094,COc1cc([N+](=O)[O-])ccc1N,303.15,0.003715,n-butanol,CCCCO,10.1021/acs.jced.9b00991
14104,O=Cc1ccc(O)c(Br)c1,303.15,0.02298,n-butanol,CCCCO,10.1021/acs.jced.9b01004
14115,CCCc1ncc(C[n+]2ccccc2C)c(N)n1.Cl.[Cl-],303.15,7.53e-05,n-butanol,CCCCO,10.1021/acs.jced.9b00999
14123,Nc1ccc(Cl)cc1[N+](=O)[O-],303.15,0.02147,n-butanol,CCCCO,10.1021/acs.jced.9b00919
14132,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,303.15,0.0007496,n-butanol,CCCCO,10.1021/acs.jced.9b00703
14142,NC(N)=NC(N)=NCCc1ccccc1,303.15,0.001665,n-butanol,CCCCO,10.1021/acs.jced.9b00844
14151,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2OCN4C)CC1,303.15,0.0001691,n-butanol,CCCCO,10.1021/acs.jced.9b00490
14172,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl,303.15,0.003081,n-butanol,CCCCO,10.1021/acs.jced.9b00778
14182,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4C[C@H]3C[C@@H]12,303.15,9.508e-05,n-butanol,CCCCO,10.1021/acs.jced.9b00693
14193,N[C@H](Cc1c[nH]cn1)C(=O)O,303.15,0.001052,n-butanol,CCCCO,10.1021/acs.jced.9b00659
14205,O=P(O)(O)c1ccccc1,303.15,0.26001,n-butanol,CCCCO,10.1021/acs.jced.9b00362
14218,OCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,303.15,0.0557,n-butanol,CCCCO,10.1021/acs.jced.9b00286
14234,N=C(N)NC(N)=S,303.15,0.002255,n-butanol,CCCCO,10.1021/acs.jced.9b00458
14243,O=C(O)C=CC(=O)O.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1.OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,303.15,0.000502,n-butanol,CCCCO,10.1021/acs.jced.7b00518
14253,O=C1C=CC(=O)N1c1ccccc1Br,303.15,0.01469,n-butanol,CCCCO,10.1021/acs.jced.9b00560
14269,c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,303.15,0.000217,n-butanol,CCCCO,10.1021/acs.jced.9b00432
14276,N[C@@H](CO)C(=O)O,303.15,1.3e-05,n-butanol,CCCCO,10.1021/acs.jced.9b00460
14287,Cc1nc(N)nc(N)n1,303.15,0.000919,n-butanol,CCCCO,10.1021/acs.jced.9b00593
14317,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,303.15,0.0002,n-butanol,CCCCO,10.1021/acs.jced.9b00562
14330,Cc1cnc(C(=O)O)cn1,303.15,2.19e-05,n-butanol,CCCCO,10.1021/acs.jced.9b00406
14337,Nc1nnn[nH]1,303.15,0.000755,n-butanol,CCCCO,10.1021/acs.jced.9b00385
14358,Sc1nc2ccccc2[nH]1,303.15,0.00941,n-butanol,CCCCO,10.1021/acs.jced.9b00190
14365,Cc1c(C(=O)O)cc([N+](=O)[O-])cc1[N+](=O)[O-],303.15,0.01785,n-butanol,CCCCO,10.1021/acs.jced.9b00497
14377,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,303.15,0.003369,n-butanol,CCCCO,10.1021/acs.jced.9b00294
14398,CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,303.15,0.008115,n-butanol,CCCCO,10.1021/acs.jced.9b00310
14406,N#Cc1cccc([N+](=O)[O-])c1C#N,303.15,0.001003,n-butanol,CCCCO,10.1021/acs.jced.8b01250
14417,O=Cc1cc([N+](=O)[O-])ccc1O,303.15,0.002226,n-butanol,CCCCO,10.1021/acs.jced.9b00232
14425,CC1=NNC(=O)N(/N=C/c2cccnc2)C1,303.15,0.0003894,n-butanol,CCCCO,10.1021/acs.jced.9b00229
14433,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,303.15,4.809e-05,n-butanol,CCCCO,10.1021/acs.jced.9b00258
14443,N[C@@H](Cc1ccc(O)cc1)C(=O)O,303.15,2.87e-06,n-butanol,CCCCO,10.1021/acs.jced.9b00258
14452,N[C@H](CC(=O)O)C(=O)O,303.15,0.0003407,n-butanol,CCCCO,10.1021/acs.jced.9b00320
14464,N#CCc1ccccc1[N+](=O)[O-],303.15,0.01294,n-butanol,CCCCO,10.1021/acs.jced.9b00243
14477,Nc1cc([N+](=O)[O-])ccc1Cl,303.15,0.0182,n-butanol,CCCCO,10.1021/acs.jced.8b00931
14486,CCOC(=O)[C@@H](C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,303.15,0.009896,n-butanol,CCCCO,10.1021/acs.jced.8b01181
14495,N#CCC(N)=O,303.15,0.006669,n-butanol,CCCCO,10.1021/acs.jced.8b01205
14504,Cc1cccc(C(=O)O)c1N,303.15,0.03019,n-butanol,CCCCO,10.1021/acs.jced.8b01226
14512,NC(=O)c1ccc([N+](=O)[O-])cc1,303.15,0.001162,n-butanol,CCCCO,10.1021/acs.jced.9b00065
14523,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,303.15,0.000284,n-butanol,CCCCO,10.1021/acs.jced.8b01080
14532,O=C(O)Cc1c[nH]c2ccccc12,303.15,3.6e-05,n-butanol,CCCCO,10.1021/acs.jced.8b01265
14543,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,303.15,0.000612,n-butanol,CCCCO,10.1021/acs.jced.8b01062
14551,NC(=O)c1ccc(N)cc1,303.15,0.003447,n-butanol,CCCCO,10.1021/acs.jced.8b01144
14560,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,303.15,0.0004999,n-butanol,CCCCO,10.1021/acs.jced.8b01101
14571,CC(C)N1C(=O)N(c2ccccc2)CSC1=NC(C)(C)C,303.15,0.03639,n-butanol,CCCCO,10.1021/acs.jced.8b01099
14579,COC(=O)Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,303.15,5.639e-05,n-butanol,CCCCO,10.1021/acs.jced.8b01126
14601,Cc1nc(C)c(C)nc1C,303.15,0.2618,n-butanol,CCCCO,10.1021/acs.jced.8b00888
14609,Nc1nc(Cl)c2[nH]cnc2n1,303.15,0.0002756,n-butanol,CCCCO,10.1021/acs.jced.8b01014
14622,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,303.15,0.002604,n-butanol,CCCCO,10.1021/acs.jced.8b00902
14630,CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c(n1c1ccccc41)[C@@H]32,303.15,0.0028501,n-butanol,CCCCO,10.1021/acs.jced.8b00663
14640,N#CCc1ccc([N+](=O)[O-])cc1,303.15,0.003876,n-butanol,CCCCO,10.1021/acs.jced.8b00811
14651,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,303.15,0.00033369,n-butanol,CCCCO,10.1021/acs.jced.8b00717
14658,O=C(O)c1cc2ccccc2cc1O,303.15,0.03458,n-butanol,CCCCO,10.1021/acs.jced.8b00578
14670,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,303.15,7.51e-05,n-butanol,CCCCO,10.1021/acs.jced.8b00551
14678,Cc1ccc(S(N)(=O)=O)cc1,303.15,0.0403,n-butanol,CCCCO,10.1021/acs.jced.7b00714
14686,Cc1ccccc1S(N)(=O)=O,303.15,0.03162,n-butanol,CCCCO,10.1021/acs.jced.7b00714
14695,N#Cc1cccc([N+](=O)[O-])c1,303.15,0.006831,n-butanol,CCCCO,10.1021/acs.jced.7b00615
14718,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1,303.15,6.393e-05,n-butanol,CCCCO,10.1021/acs.jced.7b00542
14726,NC(=O)c1cccnc1,303.15,0.0415867,n-butanol,CCCCO,10.1021/acs.jced.8b00560
14744,O=C(O)c1c(O)cccc1O,303.15,0.25975,n-butanol,CCCCO,10.1021/acs.jced.6b00957
14754,O=C(c1ccccc1)C(O)c1ccccc1,303.15,0.00267,n-butanol,CCCCO,10.1021/acs.jced.7b00238
14763,COc1cc(C(=O)O)cc(OC)c1O,303.15,0.00624,n-butanol,CCCCO,10.1021/acs.jced.7b00333
14773,COc1ccc(CN2CCNCC2)c(OC)c1OC.Cl,303.15,0.000263,n-butanol,CCCCO,10.1021/acs.jced.8b00235
14783,O=c1nc[nH]c2[nH]ncc12,303.15,0.0001837,n-butanol,CCCCO,10.1021/acs.jced.8b00430
14794,Cc1cc(C)nc(Nc2ccccc2)n1,303.15,0.04981,n-butanol,CCCCO,10.1021/acs.jced.8b00124
14805,O=C(O)Cc1ccccc1Cl,303.15,0.3143,n-butanol,CCCCO,10.1021/acs.jced.8b00139
14813,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,303.15,0.005309,n-butanol,CCCCO,10.1021/acs.jced.7b01134
14822,CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc1,303.15,0.001398,n-butanol,CCCCO,10.1021/acs.jced.8b00043
14843,O=C(c1ccccc1)c1ccccc1,303.15,0.3538,n-butanol,CCCCO,10.1021/acs.jced.8b00196
14862,O=C(c1ccccc1)C(O)c1ccccc1,303.15,0.002737,n-butanol,CCCCO,10.1021/acs.jced.7b00743
14877,Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1.OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,303.15,0.00037,n-butanol,CCCCO,10.1021/acs.jced.7b00825
14886,CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,303.15,0.00149,n-butanol,CCCCO,10.1021/acs.jced.7b00669
14905,O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],303.15,0.0002711,n-butanol,CCCCO,10.1021/acs.jced.6b00761
14913,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,303.15,0.01223,n-butanol,CCCCO,10.1021/acs.jced.6b00911
14922,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,303.15,0.0525,n-butanol,CCCCO,10.1021/acs.jced.6b00721
14932,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21.[Na+],303.15,0.000124,n-butanol,CCCCO,10.1021/acs.jced.6b00741
14945,CC(=O)c1ccc(S(C)(=O)=O)cc1,303.15,0.016,n-butanol,CCCCO,10.1021/acs.jced.6b00617
14953,COC(=O)c1c(C)cc(O)c(C)c1O,303.15,0.1153,n-butanol,CCCCO,10.1021/acs.jced.6b00646
14959,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,303.15,0.001298,n-butanol,CCCCO,10.1021/acs.jced.6b00630
14965,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1,303.15,0.0002379,n-butanol,CCCCO,10.1021/acs.jced.6b00630
14971,O=C(O)/C=C/c1ccc(O)cc1,303.15,0.0432,n-butanol,CCCCO,10.1021/acs.jced.6b00361
14979,O=[N+]([O-])c1c[nH]nc1[N+](=O)[O-],303.15,0.348024,n-butanol,CCCCO,10.1021/acs.jced.6b00219
14992,CCOC(=O)c1ccc(N)cc1,303.15,0.0981,n-butanol,CCCCO,10.1021/acs.jced.6b00037
15008,CS(=O)(=O)c1ccc(C=O)cc1,303.15,0.001404,n-butanol,CCCCO,10.1021/acs.jced.5b01053
15028,COc1cc(C(=O)O)ccc1O,303.15,0.0309,n-butanol,CCCCO,10.1021/acs.jced.5b00619
15037,O=[N+]([O-])c1cccc(S(=O)(=O)[O-])c1.[Na+],303.15,0.0006396,n-butanol,CCCCO,10.1021/acs.jced.5b00783
15046,O=[N+]([O-])c1ccc(S(=O)(=O)[O-])cc1.[Na+],303.15,0.0006986,n-butanol,CCCCO,10.1021/acs.jced.5b00783
15083,Clc1cc(Cl)cc(Cl)c1,303.15,0.1499,n-butanol,CCCCO,10.1021/acs.jced.5b00607
15098,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,303.15,0.001019,n-butanol,CCCCO,10.1021/acs.jced.5b00714
15107,O=Cc1ccc2ccccc2c1,303.15,0.07581,n-butanol,CCCCO,10.1021/acs.jced.5b00377
15111,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,303.15,0.000105,n-butanol,CCCCO,10.1021/acs.jced.5b00382
15121,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1.O=S(=O)(O)O,303.15,0.08695,n-butanol,CCCCO,10.1021/acs.jced.5b00306
15131,Nc1ccc(Cc2ccc(N)cc2)cc1,303.15,0.0296,n-butanol,CCCCO,10.1021/je501111d
15143,C=C1C[C@]23C[C@H]1CC[C@H]2[C@@]12CC[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,303.15,0.079769,n-butanol,CCCCO,10.1021/acs.jced.5b00190
15160,COc1ccc(C(=O)O)c(OC)c1,303.15,0.0188,n-butanol,CCCCO,10.1021/je501045s
15174,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,303.15,0.00010541,n-butanol,CCCCO,10.1021/je501004g
15183,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,303.15,0.0021472,n-butanol,CCCCO,10.1021/je501004g
15194,c1ccc2c(c1)sc1ccccc12,303.15,0.016027,n-butanol,CCCCO,10.1021/je500437m
15216,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OCC(=O)O)c3csc(N)n3)[C@H]2SC1.O.O.O,303.15,0.002001,n-butanol,CCCCO,10.1021/je5000605
15222,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,303.15,0.000359,n-butanol,CCCCO,10.1021/je500206w
15236,O=[N+]([O-])c1ccc(Cl)c(Cl)c1,303.15,0.1357,n-butanol,CCCCO,10.1021/je401044h
15247,O=[N+]([O-])c1cccc(Cl)c1Cl,303.15,0.06788,n-butanol,CCCCO,10.1021/je401044h
15249,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,303.15,0.0066,n-butanol,CCCCO,10.1021/je4010257
15259,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O.O,303.15,0.0324,n-butanol,CCCCO,10.1021/je400899e
15283,CCNc1nc(Cl)nc(NC(C)C)n1,303.15,0.0068329,n-butanol,CCCCO,10.1021/je400639m
15307,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1,303.15,0.000567,n-butanol,CCCCO,10.1021/je400218d
15341,Nc1cccnn1,303.15,0.0218,n-butanol,CCCCO,10.1021/je300517q
15367,c1ccc2c(c1)oc1ccccc12,303.15,0.0671,n-butanol,CCCCO,10.1021/je201282d
15378,O=C1c2ccccc2-c2ccccc21,303.15,0.0685,n-butanol,CCCCO,10.1021/je201282d
15395,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],303.15,0.00736,n-butanol,CCCCO,10.1021/je1012839
15413,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@H]1C,303.15,2.93e-05,n-butanol,CCCCO,10.1021/je101208p
15428,O=C(O)CC(O)(CC(=O)O)C(=O)O,303.15,0.1056,n-butanol,CCCCO,10.1021/je101167z
15490,N[C@@H](Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)O,303.15,4.281e-06,n-butanol,CCCCO,10.1021/je100352r
15545,Nc1ccc(S(N)(=O)=O)cc1,303.15,0.002027,n-butanol,CCCCO,10.1021/je900038m
