,smiles,solvent,logsol,ET(30) (kcal mol-1),ETN
35596,CNC(=O)c1cc(Oc2ccc(N)cc2)ccn1,C1CCOC1,-1.939192761307789,37.4,0.207
19259,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,CC(C)=O,-3.726041487802704,42.2,0.355
53886,O=C(O)c1ccc(C(=O)O)cc1,CC(=O)c1ccccc1,-11.445266816496414,40.6,0.306
49208,O=C(O)c1cccc(O)c1O,CCOC=O,-3.437342828298509,40.9,0.315
4236,Cc1cc(C)c(C(=O)P(=O)(c2ccccc2)c2ccccc2)c(C)c1,CO,-1.3026887772650937,55.4,0.762
26697,CC1=NN(c2ccc(C)cc2)C(=O)C1,CC#N,-4.156007222614208,45.6,0.46
32436,Cc1ccc(NC(=O)/C(=C/Cl)Sc2ccccc2)cc1,Cc1ccccc1,-3.116770601931047,33.9,0.099
30922,Cc1cc(C)cc(OCC2CNC(=O)O2)c1,CC(C)O,-4.889471313613756,48.4,0.546
4416,C/C=C/C(=O)O,CO,-1.1017171036215885,55.4,0.762
7357,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,CCO,-9.7191679930795,51.9,0.654
12501,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,CCCO,-8.568486485803788,50.7,0.617
48714,Cc1ccc(NC2=NCCC3(CCCCC3)S2)cc1,CCCCCC,-7.877974352881847,31.0,0.009
8349,CCCCS(=O)(=O)N[C@@H](Cc1ccc(OCCCCC2CCNCC2)cc1)C(=O)O,CCO,-8.151508953319917,51.9,0.654
37851,COc1cc2nc(Cl)nc(N)c2cc1OC,C1COCCO1,-8.605478106283808,36.0,0.164
45435,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,C1CCCCC1,-10.593439842199556,30.9,0.006
22540,COC(=O)/C=C/c1cc(OC)c(O)c(OC)c1,CCOC(C)=O,-2.1464364105041143,38.1,0.228
27747,O=C(O)c1cccnc1Cl,CC(C)O,-4.479418980682532,48.4,0.546
39901,OC[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,O,-2.7014371158319643,63.1,1.0
43380,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1.[Na+],CN(C)C=O,-2.581267781649026,43.2,0.386
45108,O=C(OCC1c2ccccc2-c2ccccc21)ON1C(=O)CCC1=O,OCCO,-7.834601524795809,56.3,0.79
9831,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F,CCO,-4.859675413745315,51.9,0.654
45511,CC(=O)c1cccc([N+](=O)[O-])c1,C1CCCCC1,-5.704182554677541,30.9,0.006
17129,CC1(C)COP(=O)(Oc2cccc(OP3(=O)OCC(C)(C)CO3)c2)OC1,CC(C)=O,-4.576582729136179,42.2,0.355
2128,CCNc1nc(Cl)nc(NC(C)C)n1,CO,-5.619487283160807,55.4,0.762
14504,Cc1cccc(C(=O)O)c1N,CCCCO,-3.500244535263389,49.7,0.586
50108,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,CCCCCCCO,-6.507637777200568,48.5,0.549
20479,CC(=O)N1CCC[C@H]1C(=O)O,CCOC(C)=O,-4.645992180508347,38.1,0.228
33942,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,CC(C)CO,-4.87082987440538,48.6,0.552
12923,Nc1cc(Cl)ccc1C(=O)O,CCCO,-3.920559336450432,50.7,0.617
8016,CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]2O)N(C)C1,CCO,-8.334871634622283,51.9,0.654
16861,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CC(C)=O,-4.535644123339481,42.2,0.355
20446,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CCOC(C)=O,-1.3664917338237108,38.1,0.228
4168,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.Cl,CO,-4.454175910940809,55.4,0.762
32421,O=C(O)Cc1ccccc1Cl,Cc1ccccc1,-2.328313241566777,33.9,0.099
1263,O=C(O)c1cc2ccccc2cc1O,CO,-4.017383521085972,55.4,0.762
24373,c1ccc(-n2c(-c3cc(-c4nc5ccccc5n4-c4ccccc4)cc(-c4nc5ccccc5n4-c4ccccc4)c3)nc3ccccc32)cc1,CC#N,-8.811564252018815,45.6,0.46
43651,O=C(OCC1c2ccccc2-c2ccccc21)ON1C(=O)CCC1=O,CN(C)C=O,-4.326781160447903,43.2,0.386
14433,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O,CCCCO,-9.942436302674702,49.7,0.586
35549,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,C1CCOC1,-7.6687103191473245,37.4,0.207
17763,O=C(c1ccccc1)C(O)c1ccccc1,CC(C)=O,-4.224681063950104,42.2,0.355
23856,CN1COCN(Cc2cnc(Cl)s2)/C1=N/[N+](=O)[O-],ClCCl,-3.69369101111116,40.7,0.309
34242,O=C(O)c1cc2ccccc2cc1O,CC(C)CO,-3.87907190528846,48.6,0.552
1500,CC(=O)c1cccc([N+](=O)[O-])c1,CO,-4.001947712956133,55.4,0.762
33128,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,Cc1ccccc1,-4.348359777203397,33.9,0.099
42361,Nc1nc2ccc(OC(F)(F)F)cc2s1,CCCOC(C)=O,-0.9201481622014598,37.5,0.21
42830,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,CN(C)C=O,-0.9983145673527458,43.2,0.386
26722,Cc1ccc(C(C)C)c(O)c1,CC#N,-0.2328151710109408,45.6,0.46
11120,NC(=O)c1ccc(N)cc1,CCCO,-5.141142692176038,50.7,0.617
45234,O=C(O)Cc1ccc([N+](=O)[O-])cc1,C1CCCCC1,-10.09780072218246,30.9,0.006
15980,COc1cc(CO)ccc1O,CCCCO,-3.236530760106921,49.7,0.586
15794,S=C(Nc1ccccc1)Nc1ccccc1,CCCCO,-5.676945820702642,49.7,0.586
47146,CC(=O)N1CCC[C@H]1C(=O)O,COC(C)=O,-4.222632582523632,38.9,0.253
21480,CC(=O)c1cccc([N+](=O)[O-])c1,CCOC(C)=O,-1.6565295199679508,38.1,0.228
14079,CN(C)Cc1c[nH]c2ccccc12,CCCCO,-5.903820037255936,49.7,0.586
36422,CC(=O)N1CCC[C@H]1C(=O)O,CCC(C)=O,-3.741015208534465,41.3,0.327
37484,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1.O=S(=O)(O)O,CCC(C)O,-3.9574911934752928,47.1,0.506
17421,NC(=O)c1ccc(N)cc1,CC(C)=O,-4.55638002181866,42.2,0.355
1979,O=C(O)c1ccc(O)c(O)c1,CO,-2.7275388776860727,55.4,0.762
42773,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,CN(C)C=O,-3.372609924810243,43.2,0.386
38329,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,C1COCCO1,-6.507637777200568,36.0,0.164
40829,O=S(=O)([O-])c1ccc(Nc2nc(Nc3ccc(/C=C/c4ccc(Nc5nc(Nc6ccc(S(=O)(=O)[O-])cc6)nc(N6CCOCC6)n5)cc4S(=O)(=O)[O-])c(S(=O)(=O)[O-])c3)nc(N3CCOCC3)n2)cc1.[Na+].[Na+].[Na+].[Na+],O,-6.325260368525787,63.1,1.0
45259,Cc1c(Br)cccc1C(=O)O,C1CCCCC1,-6.425329129737844,30.9,0.006
37231,O=C(O)[C@@H]1C[C@@H](O)CN1,CCC(C)O,-8.703522769607732,47.1,0.506
16150,Cc1ccc(C(C)C)c(O)c1,CCCCO,-0.4889010663501991,49.7,0.586
27858,OCc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,CC(C)O,-5.769922277160746,48.4,0.546
24342,O=C(O)COc1ccc(Cl)cc1,CC#N,-4.141436169755951,45.6,0.46
22597,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1=O,CCOC(C)=O,-10.211644478177297,38.1,0.228
45519,CC(=O)c1ccc([N+](=O)[O-])cc1,C1CCCCC1,-5.466499359788272,30.9,0.006
32859,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,Cc1ccccc1,-1.6514898296659697,33.9,0.099
3463,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O.Cl,CO,-6.049093659944618,55.4,0.762
27391,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,CC(C)O,-7.289015698393484,48.4,0.546
16476,COC(=O)[C@@H](N)CS.Cl,CC(C)=O,-6.980325971816972,42.2,0.355
31316,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,CCCCCCCCO,-12.547436828231817,48.1,0.537
15751,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,CCCCO,-8.408338786504155,49.7,0.586
35271,Nc1nc2ccc(OC(F)(F)F)cc2s1,CCCCCO,-1.3308974978996029,49.1,0.586
4069,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,CO,-4.231539801399945,55.4,0.762
50047,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCCCCO,-5.146111433658706,48.5,0.549
19280,O=c1[nH]c(=O)n(C2CCCO2)cc1F,CC(C)=O,-3.58787641849757,42.2,0.355
43291,O=C(/C=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1)c1ccccc1,CN(C)C=O,-4.615220521841593,43.2,0.386
23849,O=C(O)[C@@H]1C[C@@H](O)CN1,ClCCl,-7.57914096776057,40.7,0.309
33983,O=C([O-])/C=C/C(=O)O.[Na+],CC(C)CO,-11.030499315725937,48.6,0.552
29920,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,CC(C)O,-4.700030467012051,48.4,0.546
44814,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,OCCO,-3.7705234431544463,56.3,0.79
35521,c1ccc(-n2c(-c3cc(-c4nc5ccccc5n4-c4ccccc4)cc(-c4nc5ccccc5n4-c4ccccc4)c3)nc3ccccc32)cc1,C1CCOC1,-5.88890795878289,37.4,0.207
32055,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,Cc1ccccc1,-4.256628225279548,33.9,0.099
14253,O=C1C=CC(=O)N1c1ccccc1Br,CCCCO,-4.220588288796352,49.7,0.586
997,CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,CO,-5.726948752688041,55.4,0.762
46462,c1ccc(OP2(Oc3ccccc3)=NP(Oc3ccccc3)(Oc3ccccc3)=NP(Oc3ccccc3)(Oc3ccccc3)=N2)cc1,CCOCC,-4.028556821684098,34.5,0.117
40082,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3O2)cc1O,O,-15.699385316100134,63.1,1.0
5278,O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1,CCO,-7.061606003800398,51.9,0.654
25581,Nc1ccc(S(=O)(=O)Nc2ccc(Cl)nn2)cc1,CC#N,-3.79735593045002,45.6,0.46
49225,CC1(C)COP(=O)(Oc2cccc(OP3(=O)OCC(C)(C)CO3)c2)OC1,CCOC=O,-5.10439667391073,40.9,0.315
3245,COc1cc(N)nc(OC)n1,CO,-3.346141175914077,55.4,0.762
30745,C/C=C/C=C/C(=O)O,CC(C)O,-2.6829674207347467,48.4,0.546
34110,O=C1C=CC(=O)N1c1ccccc1Br,CC(C)CO,-4.058784386823549,48.6,0.552
21375,NC(=O)c1cccnc1,CCOC(C)=O,-4.350574480324117,38.1,0.228
9550,C/C=C/C=C/C(=O)O,CCO,-2.5944090646131617,51.9,0.654
19201,Nc1nc2ccc(OC(F)(F)F)cc2s1,CC(C)=O,-0.8562309754464922,42.2,0.355
11236,O=C(O)c1cc2ccccc2cc1O,CCCO,-3.5459919665653885,50.7,0.617
16341,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12.Cl,CCCCO,-8.577474122301167,49.7,0.586
20314,Nc1cccc(Cl)c1C(=O)O,CCOC(C)=O,-2.7931180134922737,38.1,0.228
34853,CCOc1ccccc1C(N)=O,CCCCCO,-4.1023364121516535,49.1,0.586
41243,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,O,-13.385678093407815,63.1,1.0
31913,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,Cc1ccccc1,-9.808177372731803,33.9,0.099
10069,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,CCCO,-7.1308988302963465,50.7,0.617
14862,O=C(c1ccccc1)C(O)c1ccccc1,CCCCO,-5.900892848923595,49.7,0.586
37474,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,CCC(C)O,-9.339310753273145,47.1,0.506
16681,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,CC(C)=O,-5.921938484459372,42.2,0.355
31281,Br.CC(C)c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,CCCCCCCCO,-2.7379940774752822,48.1,0.537
27002,COC(=O)C1CC(=O)C(C(=O)OC)CC1=O,CC#N,-5.933195638984007,45.6,0.46
31047,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CCCCCCCCO,-5.507065037578514,48.1,0.537
20642,CN(C)Cc1c[nH]c2ccccc12,CCOC(C)=O,-6.626946775473528,38.1,0.228
20409,O=C(N[C@H](C(=O)O)c1ccccc1)OCc1ccccc1,CCOC(C)=O,-3.2950551716070184,38.1,0.228
24900,O=C(O)[C@@H]1CCCN1,CC#N,-9.458801731274685,45.6,0.46
14922,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,CCCCO,-2.946942109384559,49.7,0.586
10217,NC(=O)[C@@H]1CCCN1,CCCO,-2.0414523557758013,50.7,0.617
3205,O=Cc1ccc(C(=O)O)cc1,CO,-4.354411467640908,55.4,0.762
23259,Nc1cc(Cl)ccc1C(=O)O,CCOC(C)=O,-3.5816407034443376,38.1,0.228
16986,CN(C)Cc1c[nH]c2ccccc12,CC(C)=O,-3.073045376656661,42.2,0.355
22839,CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2,CCOC(C)=O,-4.041562376783132,38.1,0.228
17577,NC(=O)c1cccnc1,CC(C)=O,-3.756413390364644,42.2,0.355
15249,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,CCCCO,-5.0206856299497575,49.7,0.586
41468,C[C@H]1COc2c(N3CCN(C)CC3)c(F)c(N)c3c(=O)c(C(=O)O)cn1c23.Cl,O,-6.19676818029386,63.1,1.0
21203,CC(C)N1C(=O)N(c2ccccc2)CSC1=NC(C)(C)C,CCOC(C)=O,-2.1567546447825063,38.1,0.228
12729,CNC[C@H](O)c1cccc(O)c1.Cl,CCCO,-4.320743406256983,50.7,0.617
35725,CN(C)/C=C/C(=O)c1cccnc1,C1CCOC1,-3.579128590154817,37.4,0.207
35690,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,C1CCOC1,-4.06284589516273,37.4,0.207
3587,COC(=O)Nc1nc2ccc(Sc3ccccc3)cc2[nH]1,CO,-9.80111148591926,55.4,0.762
5838,CC[C@@H](C(N)=O)N1CCCC1=O,CCO,-2.579261286269293,51.9,0.654
42644,O=C(O)Cc1ccccc1[N+](=O)[O-],CN(C)C=O,-1.2844600552386225,43.2,0.386
39297,CC(=O)NCC(=O)O,O,-4.859804404393672,63.1,1.0
49487,O=C(O)Cc1c[nH]c2ccccc12,ClC(Cl)Cl,-12.527932169783542,39.1,0.259
44746,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,OCCO,-2.901797584758386,56.3,0.79
13015,COc1cc(Cl)nc(N)n1,CCCO,-5.2949231334800215,50.7,0.617
581,Cc1c(Br)cccc1C(=O)O,CO,-3.0378050499758986,55.4,0.762
4422,COC(=O)C1CC(=O)C(C(=O)OC)CC1=O,CO,-7.77525584668686,55.4,0.762
30889,Cc1cc(C)c(C(=O)P(=O)(c2ccccc2)c2ccccc2)c(C)c1,CC(C)O,-1.559220196273483,48.4,0.546
48589,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)O[C@H](c3ccc(O)cc3)CC4=O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,CCCCCC,-15.32492215633125,31.0,0.009
41841,Cl.c1ccc([C@H]2CN3CCSC3=N2)cc1,O,-2.1830258579364066,63.1,1.0
47139,COc1cc2c(cc1OC)C(=O)CC2,COC(C)=O,-2.3167245861477674,38.9,0.253
41124,Nc1ccc(S(=O)(=O)[N-]c2cncc(Cl)n2)cc1.[Na+],O,-11.21282087251989,63.1,1.0
34939,CC(=O)N1CCC[C@H]1C(=O)O,CCCCCO,-2.590533867674371,49.1,0.586
27424,O=C(N[C@H](C(=O)O)c1ccccc1)OCc1ccccc1,CC(C)O,-3.41763168812558,48.4,0.546
25348,N#CCc1ccc([N+](=O)[O-])cc1,CC#N,-2.409391097311855,45.6,0.46
26198,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,CC#N,-4.15218556191195,45.6,0.46
5542,CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,CCO,-5.27499154124454,51.9,0.654
30169,CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,CC(C)O,-7.411439794596761,48.4,0.546
17469,N#CCc1ccc([N+](=O)[O-])cc1,CC(C)=O,-2.198225077669803,42.2,0.355
25236,Cc1cccc(C(=O)O)c1N,CC#N,-2.918586064377337,45.6,0.46
23417,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,CCOC(C)=O,-6.119752567409513,38.1,0.228
35217,CCOc1ccc(NC(C)=O)cc1,CCCCCO,-3.716332874228648,49.1,0.586
871,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,CO,-5.562282912382502,55.4,0.762
6493,Nc1ccc(Cc2ccc(N)cc2)cc1,CCO,-2.753570716404019,51.9,0.654
50126,Nc1nc(N)nc(NC2CC2)n1,CCCCCCCO,-7.213465553953309,48.5,0.549
140,Cc1cc(Cl)cc(C(=O)O)c1N,CO,-5.586799759170587,55.4,0.762
11971,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@H]1C,CCCO,-9.711215664889004,50.7,0.617
4785,O=C(O)CNCc1ccccc1,CCO,-7.751725349276666,51.9,0.654
36010,O=C(O)c1ccc(C(=O)O)cc1,C1CCOC1,-6.91256683597936,37.4,0.207
302,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,CO,-5.967748020490665,55.4,0.762
9792,COC(=O)[C@H](N)c1ccccc1.Cl,CCO,-3.575550768806933,51.9,0.654
45251,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],C1CCCCC1,-8.89552963213615,30.9,0.006
27145,Cc1c(N)cccc1C(=O)O,CC(C)O,-5.557865599756046,48.4,0.546
11916,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],CCCO,-4.845968672541022,50.7,0.617
32614,O=C(O)c1cccc(Cl)c1C(=O)c1ccccc1,Cc1ccccc1,-0.800287056117849,33.9,0.099
14579,COC(=O)Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,CCCCO,-9.783218720145184,49.7,0.586
11449,Nc1ccc(C(=O)O)cc1.[K],CCCO,-7.03105349532663,50.7,0.617
29967,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,CC(C)O,-6.195295787389819,48.4,0.546
52399,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,CCCCCCO,-6.731284135866358,48.8,0.559
42127,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,O,-10.7058694103025,63.1,1.0
20761,CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4C[C@H]3C[C@@H]12,CCOC(C)=O,-7.181140046733094,38.1,0.228
12645,O=c1cc(CO)occ1O,CCCO,-5.042435606646054,50.7,0.617
43767,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,CN(C)C=O,-1.6824925933400112,43.2,0.386
10265,Nc1cccc(Cl)c1C(=O)O,CCCO,-2.99873678257429,50.7,0.617
2793,CN(C)CCn1[nH]nnc1=S,CO,-8.424158325449048,55.4,0.762
21040,N[C@@H](Cc1ccc(O)cc1)C(=O)O,CCOC(C)=O,-5.683097883463368,38.1,0.228
8983,O=c1[nH]c(=O)n(C2CCCO2)cc1F,CCO,-5.286191186750196,51.9,0.654
39313,CCCOC(=O)c1ccc(O)cc1,O,-10.16225828149349,63.1,1.0
13601,CSCCC(NC(C)=O)C(=O)O,CCCCO,-2.8285243545700847,49.7,0.586
47341,O=C(c1ccccc1)c1ccccc1,COC(C)=O,-0.7876776644061786,38.9,0.253
48754,Clc1ccc(NC2=NCCC3(CCCCC3)S2)cc1,CCCCCC,-9.200390041123017,31.0,0.009
41484,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,O,-15.10214059597122,63.1,1.0
42381,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1,CCCOC(C)=O,-4.519910342037268,37.5,0.21
33137,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Cc1ccccc1,-6.319413212788318,33.9,0.099
12609,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O.Cl,CCCO,-6.921854203361638,50.7,0.617
16110,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,CCCCO,-5.46555328592395,49.7,0.586
48629,Br.c1ccc(NC2=NCCC3(CCCCC3)[Se]2)cc1,CCCCCC,-11.855415773917004,31.0,0.009
19289,COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,CC(C)=O,-4.716660562021454,42.2,0.355
44773,N[C@H](Cc1c[nH]cn1)C(=O)O,OCCO,-5.745229664570375,56.3,0.79
4637,O=C(O)[C@@H]1C[C@@H](O)CN1,CCO,-8.394975558691987,51.9,0.654
8269,COC(=O)c1c(Cl)nn(C)c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1,CCO,-9.526010480968132,51.9,0.654
32349,CC(C)(C)c1ccc(C(=O)O)cc1,Cc1ccccc1,-3.0661547378505367,33.9,0.099
34665,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(OCCO)c(OCCO)c4)oc4cc(OCCO)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,CC(C)CO,-9.315700887634009,48.6,0.552
4512,O=C(Nc1ccccc1)c1ccccc1,CCO,-5.001031557953561,51.9,0.654
18018,CC(C)c1ccc2sc3ccccc3c(=O)c2c1,CC(C)=O,-1.7869510482357502,42.2,0.355
13964,C=CC(=O)NC(C)(C)CS(=O)(=O)O,CCCCO,-5.03826346121373,49.7,0.586
27501,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1.Cl,CC(C)O,-7.943392768488859,48.4,0.546
21082,CCOC(=O)[C@@H](C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1,CCOC(C)=O,-4.478537535054725,38.1,0.228
21183,NC(=O)c1ccc(N)cc1,CCOC(C)=O,-6.876256611922766,38.1,0.228
38515,O=C(O)c1cccc(Cl)c1C(=O)c1ccccc1,C1COCCO1,-3.3825719175389906,36.0,0.164
25048,c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,CC#N,-7.921107723699423,45.6,0.46
39854,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,O,-4.103183510889305,63.1,1.0
15813,Nc1nc2ccc(OC(F)(F)F)cc2s1,CCCCO,-1.3704210119636004,49.7,0.586
25774,C=C1C[C@]23C[C@H]1CC[C@H]2[C@@]12CC[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O,CC#N,-4.703334434775322,45.6,0.46
18190,O=C(O)c1cccc(Cl)c1C(=O)c1ccccc1,CC(C)=O,-5.781527823281054,42.2,0.355
18503,Oc1cc(O)c2cc(O)c(-c3cc(O)c(O)c(O)c3)[o+]c2c1,CC(C)=O,-23.441366373902124,42.2,0.355
5868,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O.O=C(O)/C=C\C(=O)O,CCO,-5.837199588096553,51.9,0.654
6001,O=C(c1ccccc1)C(O)c1ccccc1,CCO,-5.73837391942582,51.9,0.654
16823,CC(=O)NCC(=O)O,CC(C)=O,-6.89978710933296,42.2,0.355
12540,c1ccc2[nH]c(-c3cscn3)nc2c1,CCCO,-6.0968250627658085,50.7,0.617
545,Oc1ccc(OCc2ccccc2)cc1,CO,-2.399536619070496,55.4,0.762
48508,CCc1ccc(N=C2SCC3CCCN2C3)cc1,CCCCCC,-7.870089949357699,31.0,0.009
